consultation_type,count,avg_wer,avg_similarity,avg_medical_accuracy,avg_speaker_accuracy
consultation,10,0.30855398007971624,0.8568012377316105,0.9546153846153846,0.9674205636308149
followup,10,0.19689091303014217,0.927769904347068,0.9534188034188034,0.9706345347366785
